file;labels
./data_training/machine/129.wav;0,0,1
./data_training/machine/130.wav;0,0,1
./data_training/machine/131.wav;0,0,1
./data_training/machine/132.wav;0,0,1
./data_training/machine/133.wav;0,0,1
./data_training/machine/134.wav;0,0,1
./data_training/machine/135.wav;0,0,1
./data_training/machine/136.wav;0,0,1
./data_training/machine/137.wav;0,0,1
./data_training/machine/138.wav;0,0,1
./data_training/machine/139.wav;0,0,1
./data_training/machine/140.wav;0,0,1
./data_training/machine/141.wav;0,0,1
./data_training/machine/142.wav;0,0,1
./data_training/machine/143.wav;0,0,1
./data_training/machine/144.wav;0,0,1
./data_training/machine/145.wav;0,0,1
./data_training/machine/146.wav;0,0,1
./data_training/machine/147.wav;0,0,1
./data_training/machine/148.wav;0,0,1
./data_training/machine/149.wav;0,0,1
./data_training/machine/150.wav;0,0,1
./data_training/machine_speech/161.wav;0,1,1
./data_training/machine_speech/162.wav;0,1,1
./data_training/machine_speech/163.wav;0,1,1
./data_training/machine_speech/164.wav;0,1,1
./data_training/machine_speech/165.wav;0,1,1
./data_training/machine_speech/166.wav;0,1,1
./data_training/machine_speech/167.wav;0,1,1
./data_training/machine_speech/168.wav;0,1,1
./data_training/machine_speech/169.wav;0,1,1
./data_training/machine_speech/170.wav;0,1,1
./data_training/machine_speech/171.wav;0,1,1
./data_training/machine_speech/172.wav;0,1,1
./data_training/machine_speech/173.wav;0,1,1
./data_training/machine_speech/174.wav;0,1,1
./data_training/machine_speech/175.wav;0,1,1
./data_training/machine_speech/176.wav;0,1,1
./data_training/machine_speech/177.wav;0,1,1
./data_training/machine_speech/178.wav;0,1,1
./data_training/machine_speech/179.wav;0,1,1
./data_training/machine_speech/180.wav;0,1,1
./data_training/machine_speech/181.wav;0,1,1
./data_training/machine_speech/182.wav;0,1,1
./data_training/machine_speech/183.wav;0,1,1
./data_training/machine_speech/184.wav;0,1,1
./data_training/machine_speech/185.wav;0,1,1
./data_training/machine_speech/186.wav;0,1,1
./data_training/machine_speech/187.wav;0,1,1
./data_training/machine_speech/188.wav;0,1,1
./data_training/machine_speech/189.wav;0,1,1
./data_training/machine_speech/190.wav;0,1,1
./data_training/machine_speech/191.wav;0,1,1
./data_training/machine_speech/192.wav;0,1,1
./data_training/machine_speech/193.wav;0,1,1
./data_training/machine_speech/194.wav;0,1,1
./data_training/machine_speech/195.wav;0,1,1
./data_training/machine_speech/196.wav;0,1,1
./data_training/machine_speech/197.wav;0,1,1
./data_training/machine_speech/198.wav;0,1,1
./data_training/machine_speech/199.wav;0,1,1
./data_training/machine_speech/200.wav;0,1,1
